,id,imdb_id,budget,revenue,original_title,director,production_companies,release_year,budget_adj,revenue_adj,count,movie_count
78,296100,tt3530002,25000000,52395996,The Night Before,Jonathan Levine,Sony Pictures|Point Grey Pictures|Good Universe,2015,22999989.8800044,48204295.110110104,1,True
79,263472,tt3605418,2500000,5214043,Knock Knock,Eli Roth,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,2015,2299998.98800044,4796917.44935632,1,True
80,228205,tt2726560,34000000,63013281,The Longest Ride,"George Tillman, Jr.",Fox 2000 Pictures|Temple Hill Entertainment,2015,31279986.236806,57972193.012235,1,True
81,159824,tt2510894,80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,Columbia Pictures|Sony Pictures Animation,2015,73599967.61601421,428888671.76898396,1,True
82,333348,tt2279339,17000000,24000000,Love the Coopers,Jessie Nelson,Imagine Entertainment|Groundswell Productions|CBS Films,2015,15639993.118403,22079990.2848042,1,True
83,285783,tt3488710,35000000,61181942,The Walk,Robert Zemeckis,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,2015,32199985.8320062,56287361.873560704,1,True
84,290764,tt2401097,11000000,1863315,Tracers,Daniel Benmayor,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,2015,10119995.5472019,1714249.04573042,1,True
85,296099,tt1524930,31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,New Line Cinema|BenderSpink|David Dobkin Productions,2015,28519987.4512055,96033410.70529921,1,True
86,243688,tt1029360,35000000,95437994,Poltergeist,Gil Kenan,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,2015,32199985.8320062,87802915.846717,1,True
87,287424,tt1881002,4000000,187112,Maggie,Henry Hobson,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,2015,3679998.38080071,172142.964257095,1,True
88,301875,tt3289728,0,2000000,Equals,Drake Doremus,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,2015,0.0,1839999.19040035,1,True
89,181283,tt1014763,50000000,3324330,Child 44,Daniel Espinosa,Summit Entertainment|Scott Free Productions|Worldview Entertainment,2015,45999979.7600089,3058382.2543117995,1,True
90,328425,tt4178092,5000000,58978653,The Gift,Joel Edgerton,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,2015,4599997.97600089,54260336.885451704,1,True
91,274167,tt1528854,50000000,240360392,Daddy's Home,Sean Anders,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,2015,45999979.7600089,221131463.342156,1,True
92,370687,tt3608646,0,0,Mythica: The Necromancer,A. Todd Smith,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,2015,0.0,0.0,1,True
93,307663,tt3480796,10000000,0,Vice,Brian A Miller,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,2015,9199995.95200178,0.0,1,True
94,309809,tt1754656,64000000,97571250,The Little Prince,Mark Osborne,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,2015,58879974.0928114,89765510.50317529,1,True
95,258509,tt2974918,0,233755553,Alvin and the Chipmunks: The Road Chip,Walt Becker,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,2015,0.0,215055014.135793,1,True
96,298382,tt2910904,11930000,18340000,The Dressmaker,Jocelyn Moorhouse,Amazon Studios|Film Art Media|Apollo Media,2015,10975595.1707381,16872792.5759712,1,True
97,272693,tt1666801,8500000,43528634,The DUFF,Ari Sandel,Wonderland Sound and Vision|CBS Films|Vast Entertainment,2015,7819996.55920151,40046325.65961671,1,True
98,283445,tt2752772,10000000,52882018,Sinister 2,Ciaran Foy,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,2015,9199995.95200178,48651435.1533685,1,True
99,256961,tt3450650,30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),2015,27599987.856005296,98989419.0846556,1,True
100,326359,tt4007502,0,0,Frozen Fever,Chris Buck|Jennifer Lee,Walt Disney Pictures|Walt Disney Animation Studios,2015,0.0,0.0,1,True
101,254302,tt0462335,0,0,High-Rise,Ben Wheatley,Ingenious Media|HanWay Films|Scope Pictures|Recorded Picture Company (RPC)|Northern Ireland Screen,2015,0.0,0.0,1,True
102,241251,tt3181822,4000000,50163103,The Boy Next Door,Rob Cohen,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,2015,3679998.38080071,46150034.4539848,1,True
103,292040,tt3321300,0,0,Spooks: The Greater Good,Bharat Nalluri,BBC Films|Isle of Man Film|Shine Pictures|Kudos Film and Television|Pinewood Pictures,2015,0.0,0.0,1,True
104,188222,tt1674771,30000000,49263404,Entourage,Doug Ellin,Warner Bros.|Closest to the Hole Productions,2015,27599987.856005296,45322311.73818279,1,True
105,252838,tt0884732,23000000,79799880,The Wedding Ringer,Jeremy Garelick,Miramax Films|Screen Gems|LStar Capital,2015,21159990.689604,73415857.2970227,1,True
106,273477,tt1727776,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,2015,13799993.9280026,13671898.704364501,1,True
107,298312,tt3567288,5000000,98450062,The Visit,M. Night Shyamalan,Blumhouse Productions|Blinding Edge Pictures,2015,4599997.97600089,90574017.18743241,1,True
108,261023,tt1355683,53000000,99775678,Black Mass,Scott Cooper,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,2015,48759978.5456094,91793583.3708233,1,True
109,336004,tt3276924,8900000,50136,Heist,Scott Mann,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,2015,8187996.39728158,46125.099704956105,1,True
110,287903,tt3850590,15000000,61548707,Krampus,Michael Dougherty,Universal Pictures|Legendary Pictures,2015,13799993.9280026,56624785.5250943,1,True
111,182560,tt2402101,20000000,208588,Dark Places,Gilles Paquet-Brenner,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,2015,18399991.9040035,191900.87556361398,1,True
112,192141,tt1781922,5000000,54418872,No Escape,John Erick Dowdle,Bold Films|Living Films|Brothers Dowdle Productions,2015,4599997.97600089,50065340.2112503,1,True
113,308639,tt3850214,700000,17986781,Dope,Rick Famuyiwa,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,2015,643999.716640124,16547831.2389542,1,True
114,261392,tt3316948,28000000,28208085,American Ultra,Nima Nourizadeh,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,2015,25759988.665604897,25951426.781372197,1,True
115,304357,tt2404425,11000000,61619773,Woman in Gold,Simon Curtis,BBC Films|Origin Pictures,2015,10119995.5472019,56690166.216326796,1,True
116,297291,tt3086386,0,0,The Scorpion King: The Lost Throne,Mike Elliott,Universal Pictures,2015,0.0,0.0,1,True
117,266294,tt1850457,30000000,105011053,Sisters,Jason Moore,Little Stranger,2015,27599987.856005296,96610126.25154442,1,True
118,227719,tt2436386,12000000,32248241,Project Almanac,Dean Israelite,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,2015,11039995.1424021,29668368.665917702,1,True
119,86828,tt1727770,0,5189646,Absolutely Anything,Terry Jones,Premiere Picture|Bill and Ben Productions|GFM films,2015,0.0,4774472.21923222,1,True
120,287948,tt2938956,25000000,72629670,The Transporter Refueled,Camille Delamarre,EuropaCorp,2015,22999989.8800044,66819266.9995225,1,True
121,201085,tt2554274,55000000,74679822,Crimson Peak,Guillermo del Toro,Legendary Pictures,2015,50599977.7360098,68705406.0096213,1,True
122,277355,tt1945084,0,0,Everly,Joe Lynch,"Crime Scene Pictures|Radius-TWC|Anonymous Content|Vega, Baby!",2015,0.0,0.0,1,True
123,264999,tt2268016,14800000,122413057,Magic Mike XXL,Gregory Jacobs,Warner Bros.|Iron Horse Entertainment (II),2015,13615994.0089626,112619962.88721599,1,True
124,146301,tt2473510,10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,Paramount Pictures|Blumhouse Productions,2015,9199995.95200178,71851557.1453148,1,True
125,223485,tt3205376,0,229094,Slow West,John Maclean,The New Zealand Film Commission|Film4|See Saw Films|DMC Films,2015,0.0,210766.38726278898,1,True
126,294016,tt3203606,15000000,8235661,Trumbo,Jay Roach,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,2015,13799993.9280026,7576804.78620589,1,True
127,290751,tt1741273,19500000,32189727,Secret in Their Eyes,Billy Ray,Ingenious Media|Gran Via Productions|IM Global|Route One Films,2015,17939992.1064034,29614535.809604198,1,True
128,309245,tt2872462,0,2500431,Mistress America,Noah Baumbach,RT Features,2015,0.0,2300395.50782597,1,True
129,228165,tt2279373,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,2015,68079970.0448131,286666383.306791,1,True
130,245706,tt2273657,0,4719695,True Story,Rupert Goold,Plan B Entertainment|Regency Enterprises|New Regency Pictures,2015,0.0,4342117.4894683,1,True
131,272878,tt3369806,20000000,43967255,Max,Boaz Yakin,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),2015,18399991.9040035,40449856.802063,1,True
132,263109,tt2872750,0,59700000,Shaun the Sheep Movie,Mark Burton|Richard Starzack,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE),2015,0.0,54923975.83345061,1,True
133,157827,tt2217859,11000000,0,Louder Than Bombs,Joachim Trier,Motlys|Arte France CinÃ©ma|Animal Kingdom,2015,10119995.5472019,0.0,1,True
134,321751,tt3577624,0,1702433,A Perfect Day,Fernando LeÃ³n de Aranoa,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,2015,0.0,1566237.67085542,1,True
135,266396,tt2515034,40000000,10664749,The Gunman,Pierre Morel,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),2015,36799983.808007106,9811564.7629115,1,True
136,277685,tt3713166,1000000,62882090,Unfriended,Levan Gabriadze,Bazelevs Production|Blumhouse Productions,2015,919999.595200178,57851497.3453411,1,True
137,268920,tt2967224,35000000,51680201,Hot Pursuit,Anne Fletcher,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,2015,32199985.8320062,47545763.999863796,1,True
138,280092,tt3195644,10000000,104303851,Insidious: Chapter 3,Leigh Whannell,Sony Pictures,2015,9199995.95200178,95959500.6978197,1,True
139,193687,tt1598642,0,118483,Z for Zachariah,Craig Zobel,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir,2015,0.0,109004.312038102,1,True
140,300803,tt3829170,0,0,Dragonheart 3: The Sorcerer's Curse,Colin Teague,Raffaella Productions,2015,0.0,0.0,1,True
141,328589,tt3722070,6000000,41387687,The Lady in the Van,Nicholas Hytner,BBC Films|TriStar Productions,2015,5519997.57120106,38076655.2862716,1,True
142,228066,tt1976009,40000000,34227298,Victor Frankenstein,Paul McGuigan,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,2015,36799983.808007106,31489100.3047958,1,True
143,378373,tt3532278,0,0,Brothers of the Wind,Gerado Olivares|Otmar Penker,Terra Mater Factual Studios,2015,0.0,0.0,1,True
144,291270,tt2401878,8000000,3759286,Anomalisa,Duke Johnson|Charlie Kaufman,Starburns Industries,2015,7359996.76160142,3458541.59824169,1,True
145,294963,tt2494362,1800000,0,Bone Tomahawk,S. Craig Zahler,Caliber Media Company|The Fyzz Facility|Realbuilder Productions,2015,1655999.27136032,0.0,1,True
146,241257,tt3319920,0,17671101,Regression,Alejandro AmenÃ¡bar,The Weinstein Company|HimenÃ³ptero|First Generation Films|Mod Producciones|FilmNation Entertainment,2015,0.0,16257405.7667414,1,True
147,245698,tt1596345,0,0,Pawn Sacrifice,Edward Zwick,Material Pictures|MICA Entertainment|PalmStar Media|Gail Katz Productions,2015,0.0,0.0,1,True
148,353326,tt0787524,0,11472454,The Man Who Knew Infinity,Matt Brown,Animus Films|Edward R. Pressman Film|Kreo Films FZ|Xeitgeist Entertainment Group|American Entertainment Investors,2015,0.0,10554653.0359526,1,True
149,346808,tt3181776,20000000,0,Momentum,Stephen S. Campanelli,Thaba Media|Azari Media,2015,18399991.9040035,0.0,1,True
150,250124,tt3172532,2000000,1477002,The Diary of a Teenage Girl,Marielle Heller,Caviar Films|Cold Iron Pictures|Archer Gray,2015,1839999.19040035,1358841.24210985,1,True
151,290637,tt3733778,0,0,Pay the Ghost,Uli Edel,Voltage Films|Midnight Kitchen Productions,2015,0.0,0.0,1,True
152,244458,tt1567437,0,0,The Voices,Marjane Satrapi,Studio Babelsberg|Mandalay Vision|1984 Private Defense Contractors,2015,0.0,0.0,1,True
153,308504,tt2493486,0,3643591,Last Knights,Kazuaki Kiriya,Czech Anglo Productions|Luka Productions,2015,0.0,3352102.24507501,1,True
154,314405,tt3278330,12000000,0,Il racconto dei racconti,Matteo Garrone,HanWay Films|Rai Cinema|Le Pacte|Fonds Eurimages du Conseil de l'Europe|Recorded Picture Company (RPC),2015,11039995.1424021,0.0,1,True
155,282984,tt3715320,11000000,27391084,Irrational Man,Woody Allen,Sony Pictures|Gravier Productions,2015,10119995.5472019,25199786.192094002,1,True
